UWI,Formatted UWI,License Number,Formation,Lab Name,Test Interval Top (m),Test Interval Bottom (m),Condensate Flag,Sample Point Description,Sample Pressure,Sample Temperature,Received Pressure,Received Temperature,H2S,CO2,N2,H2,HE,C1,C2,C3,IC4,NC4,IC5,NC5,C6,C7 Plus,C7,C8,C9,C10 Plus,Gas Relative Density,Gas Molecular Weight,Gas Gross Heat Value Moisture Free,Gas Gross Heat Value Moisture And Acid Gas Free,Calculated PCP Sampled,Calculated TCP Sampled,Molecular Weight Of C7 Plus,Province,Sample Date
100080708124W403,100/08-07-081-24W4/03,0299099,COMMINGLED POOL 001,AGAT Laboratories Ltd.,429.2,430.2,N,WELLHEAD,200.0,8.0,300.0,21.0,0.0,0.0193,0.0018,0.0,0.0001,0.9781,0.0005,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,,,,,0.574,16.6,,37.73,4650.02,192.71,,AB,2015-06-02
100080708124W403,100/08-07-081-24W4/03,0299099,WABISKAW,AGAT Laboratories Ltd.,429.2,430.2,N,WELLHEAD,140.0,8.0,140.0,21.0,0.0,0.0212,0.0019,0.0001,0.0001,0.9758,0.0006,0.0001,0.0,0.0001,0.0001,0.0,0.0,0.0,,,,,0.576,16.7,,37.74,4654.77,192.95,,AB,2012-06-16
100103608125W403,100/10-36-081-25W4/03,0217244,COMMINGLED,AGAT Laboratories Ltd.,348.0,389.0,N,WELLHEAD,200.0,5.0,220.0,21.0,0.0,0.0041,0.0028,0.0002,0.0001,0.9879,0.0016,0.0004,0.0007,0.0008,0.0006,0.0003,0.0003,0.0002,,,,,0.565,16.4,,38.04,4602.95,191.8,100.2,AB,2011-11-16
100103608125W403,100/10-36-081-25W4/03,0217244,CLEARWATER,AGAT Laboratories Ltd.,348.0,389.0,N,WELLHEAD,200.0,8.0,210.0,21.0,0.0,0.0041,0.0025,0.0,0.0001,0.9888,0.0015,0.0003,0.0006,0.0007,0.0005,0.0003,0.0003,0.0003,,,,,0.565,16.4,,38.04,4604.09,191.79,100.2,AB,2015-06-03
100110208225W402,100/11-02-082-25W4/02,0299985,COMMINGLED,AGAT Laboratories Ltd.,362.5,365.5,N,WELLHEAD,200.0,8.0,190.0,21.0,0.0,0.004,0.0024,0.0,0.0001,0.9884,0.0018,0.0003,0.0006,0.0007,0.0003,0.0002,0.0003,0.0009,,,,,0.567,16.4,,38.16,4602.9,191.99,126.7,AB,2015-06-03
100110208225W402,100/11-02-082-25W4/02,0299985,COMMINGLED,AGAT Laboratories Ltd.,362.5,365.5,N,WELLHEAD,100.0,8.0,330.0,21.0,0.0,0.0036,0.0024,0.0003,0.0001,0.9884,0.0017,0.0005,0.0006,0.0007,0.0006,0.0005,0.0002,0.0004,,,,,0.565,16.4,,38.09,4601.37,191.84,107.2,AB,2014-04-12
100110208225W402,100/11-02-082-25W4/02,0299985,COMMINGLED,AGAT Laboratories Ltd.,362.5,365.5,N,WELLHEAD,140.0,8.0,125.0,21.0,0.0,0.004,0.0023,0.0002,0.0001,0.988,0.0024,0.0006,0.0007,0.0008,0.0003,0.0002,0.0002,0.0002,,,,,0.565,16.4,,38.04,4604.05,191.81,107.2,AB,2012-06-11
100113008124W402,100/11-30-081-24W4/02,0052437,COMMINGLED,AGAT Laboratories Ltd.,401.0,403.6,N,WELLHEAD,,,40.0,21.0,0.0,0.0246,0.0022,0.0002,0.0002,0.9715,0.0008,0.0001,0.0001,0.0001,0.0001,0.0,0.0,0.0001,,,,,0.58,16.8,,37.75,4662.83,193.36,114.2,AB,2012-06-12
100123208024W402,100/12-32-080-24W4/02,0182400,COMMINGLED,AGAT Laboratories Ltd.,407.8,409.3,N,WELLHEAD,150.0,5.0,250.0,21.0,0.0,0.013,0.001,0.0001,0.0,0.9849,0.0006,0.0002,0.0002,0.0,0.0,0.0,0.0,0.0,,,,,0.568,16.4,,37.78,4633.48,192.1,,AB,2011-11-16
100123208024W402,100/12-32-080-24W4/02,0182400,COMMINGLED POOL 001,AGAT Laboratories Ltd.,407.8,409.3,N,WELLHEAD,100.0,8.0,160.0,21.0,0.0,0.0104,0.0017,0.0,0.0001,0.9862,0.0007,0.0002,0.0002,0.0001,0.0001,0.0001,0.0,0.0002,,,,,0.567,16.4,,37.84,4624.53,191.93,135.3,AB,2014-04-07
